feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,bag_label,instance_name,bag_name,bag_cnn_prediction,bag_cnn_probability
-5.8172984,1.1388009,-3.5417094,1.5700392,-0.54683787,1.5267942,-9.336717,0.82146585,0.40412432,0.8716541,1.0083187,6.5733128,8.402694,-1.3876659,1.0415272,5.738803,6.807162,2.0585184,-0.47077698,1.3498517,8.259247,0.1265047,8.8626995,-0.8457982,0.30996665,1.6078377,-1.0765867,-6.706227,-1.5242438,-0.5668167,-1.7566283,0.6288989,0,CT-101_slide_10,CQ500-CT-101,1,0.79806612
0.21807249,-0.08429898,0.16035913,0.15466222,-0.20115894,0.13817157,0.20137781,0.15933785,0.026338225,0.18936768,-0.114892736,-0.2677242,-0.176209,-0.13404337,0.14658794,-0.20740572,-0.2652242,0.11490304,-0.3384996,-0.089507036,-0.25960976,-0.04232297,-0.20899132,-0.08674289,0.18557745,0.067104526,0.08599594,0.19594966,0.0902364,-0.2222382,0.051792085,-0.03418212,0,CT-101_slide_11,CQ500-CT-101,1,0.79806612
1.2340257,-0.12208323,0.7492807,-0.2644158,0.3432992,-0.4443636,1.6771275,-0.43953776,-0.20840731,-0.46586204,-0.44075605,-1.4079146,-1.6459051,0.4280463,-0.38873246,-1.1966565,-1.446966,-0.47050604,0.45615008,-0.16766079,-1.59303,-0.1599044,-1.6489078,0.330621,-0.3726608,-0.4225307,0.39899087,1.4478546,0.523181,0.2849442,0.3764488,-0.021112181,0,CT-101_slide_12,CQ500-CT-101,1,0.79806612
-0.2615658,0.04207397,-0.17008515,0.25401226,-0.18211186,0.18980023,-0.53371274,0.2005235,0.09423148,0.21005103,0.02140793,0.29756108,0.4971569,-0.16858163,0.14476314,0.28071976,0.27801085,0.24412674,-0.30781692,0.05453831,0.37614754,-0.028639194,0.46749714,-0.10940825,0.15248151,0.17577009,-0.04450924,-0.38345572,-0.056271885,-0.21949406,-0.06449998,0.06420387,0,CT-101_slide_13,CQ500-CT-101,1,0.79806612
-5.0851984,0.91555566,-3.050768,1.4468157,-0.7245048,1.5781572,-8.250238,0.72153056,0.34516704,0.916877,1.1732361,5.747975,7.4545937,-1.4330511,1.1038673,5.0083885,5.9613566,1.7559139,-0.53405106,1.1985012,7.1781635,0.26665702,7.774419,-0.94507307,0.36156413,1.62442,-1.2007225,-5.995215,-1.6501056,-0.5403952,-1.6590186,0.4741997,0,CT-101_slide_14,CQ500-CT-101,1,0.79806612
-1.8206273,0.18640116,-1.1582146,0.7359924,-0.6934542,0.92754036,-2.810168,0.56823874,0.2536476,0.75358516,0.6915795,2.07361,2.6889966,-0.8467738,0.73376334,1.7597897,2.1302042,0.7151344,-0.8324329,0.3711139,2.3628411,0.2712707,2.6151538,-0.6115048,0.42683122,0.8678456,-0.6710747,-2.2995667,-0.87250006,-0.475374,-0.6881068,0.055485927,0,CT-101_slide_15,CQ500-CT-101,1,0.79806612
-1.6835732,0.14869814,-1.0481448,0.6720361,-0.6976737,0.90019673,-2.6749458,0.6025393,0.28129,0.7754573,0.70858246,1.9528275,2.532278,-0.8634189,0.72479266,1.6065363,1.9863479,0.69090044,-0.81372404,0.33784416,2.2040308,0.28815296,2.4641325,-0.66324145,0.47882745,0.8779025,-0.67270094,-2.1776972,-0.85985047,-0.48570883,-0.6700226,0.027716884,0,CT-101_slide_16,CQ500-CT-101,1,0.79806612
-1.0328537,0.21849722,-0.6809503,0.39826736,-0.3348614,0.45718136,-1.61729,0.47493905,0.27520952,0.46268746,0.24728248,1.2011065,1.5594754,-0.37047082,0.36772892,1.0204704,1.2497023,0.580863,-0.62402743,0.2488326,1.343093,0.044241197,1.4584736,-0.2699648,0.30937162,0.39168108,-0.2506681,-1.3304836,-0.3488387,-0.49990165,-0.22825517,0.19630997,0,CT-101_slide_17,CQ500-CT-101,1,0.79806612
-2.3279707,0.50549775,-1.3792428,0.71661323,-0.38652444,0.77562845,-3.7694163,0.3641185,0.27634862,0.44176033,0.67651856,2.5721743,3.4587843,-0.6562262,0.52521735,2.2724085,2.646209,0.84369653,-0.40127403,0.679412,3.1371539,0.18128555,3.4103615,-0.43359512,0.22546321,0.79010266,-0.691969,-2.8379834,-0.91178274,-0.38506758,-0.6956447,0.3379662,0,CT-101_slide_18,CQ500-CT-101,1,0.79806612
-1.2085088,0.2003131,-0.79006904,0.48694348,-0.43770713,0.53882134,-1.8047527,0.56811213,0.35304266,0.6108924,0.33932197,1.3812926,1.7493972,-0.47988057,0.44489035,1.1765137,1.4353124,0.65007484,-0.77880675,0.23360674,1.5460538,0.0938054,1.6384088,-0.3629033,0.41621432,0.48760897,-0.32064378,-1.5104265,-0.43560353,-0.55674654,-0.29281542,0.16829298,0,CT-101_slide_19,CQ500-CT-101,1,0.79806612
-1.2590733,0.17443626,-0.77753294,0.5468807,-0.38134587,0.592093,-1.9914924,0.23550163,0.095469646,0.38202035,0.38093448,1.37288,1.8878953,-0.52862996,0.43505308,1.2472132,1.4060678,0.48561844,-0.40374097,0.3011107,1.6598009,0.12847482,1.8617848,-0.32344097,0.17955416,0.55176866,-0.40471643,-1.5427748,-0.5215219,-0.25145525,-0.47086596,0.104059264,0,CT-101_slide_20,CQ500-CT-101,1,0.79806612
-0.47506493,0.10067238,-0.28822362,0.16438903,-0.0380919,0.17405014,-1.2057815,-0.05215794,0.000410842,0.019550323,0.21353547,0.5842641,0.97114426,-0.21039501,0.03945134,0.52271616,0.6132617,0.18898141,0.16628538,0.18348886,0.84866637,0.06612995,1.0557942,-0.16905916,-0.06158317,0.25983638,-0.27162522,-0.6902793,-0.23787922,0.06279199,-0.19560467,0.03249392,0,CT-101_slide_21,CQ500-CT-101,1,0.79806612
-0.79305893,0.03245231,-0.48222253,0.41297862,-0.41825283,0.44689843,-1.1576025,0.46645382,0.26709536,0.5619656,0.22519837,0.8507956,1.1326694,-0.418882,0.39174113,0.76928264,0.88346833,0.45365384,-0.7059116,0.07825632,0.97513956,0.09285958,1.0561812,-0.32374978,0.4111123,0.38783872,-0.21858771,-0.9587608,-0.279938,-0.44585285,-0.22465016,0.06232263,0,CT-101_slide_22,CQ500-CT-101,1,0.79806612
-2.4000447,0.21878743,-1.4683022,0.97904634,-0.9888661,1.3118128,-3.7737312,0.5714778,0.21235919,0.9587559,0.97045076,2.7589142,3.5914788,-1.1764921,1.0417051,2.2684672,2.8697166,0.84407026,-0.9474594,0.54902714,3.1508176,0.4471033,3.4659028,-0.9190316,0.54128253,1.2150103,-0.9495855,-3.0612216,-1.2575464,-0.5385441,-0.9828732,0.017265523,0,CT-101_slide_23,CQ500-CT-101,1,0.79806612
-4.401521,0.47751325,-2.5898638,1.5156301,-1.3183947,1.9376135,-7.195204,0.90588,0.2766157,1.3511668,1.4345354,4.980751,6.603545,-1.7512364,1.4450976,4.361856,5.18698,1.6080713,-1.0793697,0.8246301,6.2223587,0.5547911,6.85413,-1.2866018,0.7625475,1.8550156,-1.490437,-5.453152,-1.8675914,-0.8320493,-1.5171897,0.16186519,0,CT-101_slide_24,CQ500-CT-101,1,0.79806612
-5.6921163,0.447001,-3.2857666,1.9614791,-1.8217013,2.6438744,-8.983868,1.1345752,0.3492343,1.8548418,2.0132346,6.272168,8.315013,-2.4151468,2.0751004,5.523926,6.58203,1.8750442,-1.5512264,1.0018888,7.766012,0.8664088,8.546947,-1.7413077,1.0543087,2.4675627,-2.0359318,-6.8788037,-2.5938249,-0.96213096,-2.1825972,0.083783865,0,CT-101_slide_25,CQ500-CT-101,1,0.79806612
-6.2562494,0.46179816,-3.5628142,2.037389,-1.8647133,2.8192225,-9.943194,1.3245454,0.4390814,1.952059,2.2264848,6.839695,9.129805,-2.6231296,2.1919796,6.1005573,7.1639543,2.096937,-1.6604654,0.98900765,8.561866,0.9047618,9.495499,-1.8371966,1.1385442,2.6494122,-2.2574575,-7.5249705,-2.820941,-1.0169542,-2.3684628,0.0865421,0,CT-101_slide_26,CQ500-CT-101,1,0.79806612
-6.516189,0.33534643,-3.6622229,2.313161,-2.4866846,3.4967592,-10.532713,1.2876104,0.3217919,2.309085,2.906326,7.262263,9.754045,-3.1896315,2.777969,6.2267923,7.567858,1.8935833,-1.8334335,1.2340106,8.874963,1.351005,9.91044,-2.4202082,1.3312289,3.2749474,-2.823376,-8.114426,-3.6275265,-0.9032917,-2.9124177,-0.16091953,0,CT-101_slide_27,CQ500-CT-101,1,0.79806612
-0.64729214,0.056677952,-0.39857978,0.42194867,-0.4393329,0.5447872,-1.2467048,0.23039341,0.033086225,0.33616167,0.34370247,0.80281556,1.1798855,-0.5859816,0.4295094,0.6155983,0.79110676,0.33425233,-0.37640864,0.19844596,0.9468669,0.14756744,1.1533229,-0.38846374,0.19636896,0.56505346,-0.3544215,-0.9815033,-0.4469765,-0.21168317,-0.40114164,-0.070374265,1,CT-102_slide_0,CQ500-CT-102,0,0.421083966
-5.6735873,1.0817866,-3.4611573,1.5739733,-0.63760954,1.5503129,-9.043436,0.9177331,0.43051547,0.980626,0.9902052,6.395128,8.173395,-1.4137642,1.0828366,5.582322,6.6223702,2.0757568,-0.6335207,1.2513202,8.028881,0.13997108,8.629334,-0.8860234,0.43563405,1.5919247,-1.0514568,-6.5456963,-1.4929701,-0.6633557,-1.6793524,0.58580625,1,CT-102_slide_1,CQ500-CT-102,0,0.421083966
-5.3211594,0.8579713,-3.1727624,1.5582373,-1.0354247,1.8543195,-8.556152,0.9299778,0.43287852,1.2687813,1.4404957,6.0185924,7.827078,-1.7038584,1.382811,5.178437,6.2431426,1.8655787,-0.8566603,1.2332307,7.4345055,0.46101034,8.079416,-1.2099721,0.6682404,1.8705155,-1.4118314,-6.345263,-1.9305712,-0.73473537,-1.8270209,0.4129068,1,CT-102_slide_2,CQ500-CT-102,0,0.421083966
-1.7407261,0.046554547,-0.9945006,0.70066506,-0.77801,1.1495516,-3.0739145,0.29943055,-0.054960504,0.5778892,0.97632563,1.9164417,2.7829492,-1.091577,0.87285084,1.5900645,1.9316397,0.41792116,-0.42887968,0.4158915,2.4084039,0.4224465,2.8359592,-0.7589953,0.23729363,1.1569371,-0.94515187,-2.2567258,-1.155456,-0.03909402,-1.0502522,-0.1518721,1,CT-102_slide_3,CQ500-CT-102,0,0.421083966
-3.1269605,0.24927495,-1.8209081,1.1876825,-1.2110405,1.7664939,-5.2672687,0.61911774,0.099231124,1.0213042,1.4152132,3.5389278,4.857958,-1.6350129,1.3494093,2.9507322,3.5998118,0.97111815,-0.84981936,0.7195137,4.2938375,0.5864534,4.862985,-1.1631733,0.55678046,1.7016677,-1.3915544,-3.9934978,-1.7780985,-0.33577034,-1.5075297,-0.09330931,1,CT-102_slide_4,CQ500-CT-102,0,0.421083966
-1.3955356,0.07752303,-0.83813167,0.65720665,-0.7186125,0.9453479,-2.3645334,0.47711408,0.09871835,0.6355644,0.6595555,1.5889325,2.2352211,-0.9142015,0.743799,1.3199897,1.6048583,0.57486826,-0.68562675,0.30459356,1.902798,0.26596713,2.223077,-0.62229764,0.36697742,0.9087627,-0.6578437,-1.8632566,-0.81847143,-0.33447686,-0.7151501,-0.071298346,1,CT-102_slide_5,CQ500-CT-102,0,0.421083966
-6.326397,1.1198841,-3.8305125,1.8306718,-0.84187585,1.8689375,-10.029223,0.94434154,0.3613522,1.1067822,1.1632917,7.0866394,9.080036,-1.7100399,1.3489143,6.174094,7.345122,2.1809814,-0.72123116,1.3957825,8.890345,0.25047892,9.566061,-1.085292,0.4927275,1.8848566,-1.251306,-7.2667356,-1.7672975,-0.6195242,-2.0122764,0.5372856,1,CT-102_slide_6,CQ500-CT-102,0,0.421083966
-5.6452456,0.93627363,-3.397503,1.6063489,-0.8905284,1.8029658,-9.052782,0.96606374,0.426126,1.1662256,1.316385,6.3446565,8.202373,-1.6748261,1.3086941,5.5110044,6.5729537,1.9847294,-0.78734213,1.2200171,7.921853,0.33381546,8.598142,-1.1152408,0.5637119,1.8367223,-1.3365892,-6.608763,-1.824506,-0.66384065,-1.8624084,0.44781402,1,CT-102_slide_7,CQ500-CT-102,0,0.421083966
-2.0452583,0.24195628,-1.2023892,0.76960415,-0.71058786,1.0505729,-3.248452,0.40941378,0.14962263,0.62462604,0.7926462,2.241007,3.0310757,-0.9219964,0.8174634,1.9101684,2.3255095,0.6503407,-0.6688877,0.47107214,2.6459517,0.35479918,2.9717653,-0.6718069,0.3462762,0.97291833,-0.81504226,-2.539745,-1.0736424,-0.35482794,-0.8273678,0.02452261,1,CT-102_slide_8,CQ500-CT-102,0,0.421083966
-2.497514,0.16125527,-1.4862179,1.047816,-1.1142154,1.4994566,-3.8755257,0.5980822,0.14050217,1.0015568,1.0614051,2.7342186,3.6781576,-1.3343098,1.2084817,2.296128,2.854589,0.8141562,-1.0352556,0.5304325,3.2348354,0.49978662,3.5968773,-0.9705294,0.54573476,1.3557963,-1.0451826,-3.1027663,-1.3966153,-0.47934118,-1.1439185,-0.06051335,1,CT-102_slide_9,CQ500-CT-102,0,0.421083966
-2.2557817,0.26044375,-1.3278594,0.86934596,-0.8147333,1.1935973,-3.6653163,0.44447073,0.15442315,0.7085155,0.90620625,2.526917,3.4099321,-1.0388299,0.91570497,2.1193027,2.6214666,0.7305637,-0.7143493,0.5638644,2.981144,0.3988052,3.3427212,-0.7845491,0.38610944,1.1037182,-0.91359484,-2.8657334,-1.2058467,-0.39512196,-0.93146825,0.025420353,1,CT-102_slide_10,CQ500-CT-102,0,0.421083966
-2.090154,0.27854705,-1.2010009,0.66906816,-0.5211561,0.9289371,-3.6088984,0.26056916,0.07152105,0.4396961,0.8207658,2.319185,3.2552109,-0.85194033,0.65551484,1.9921509,2.3564389,0.6113632,-0.28343502,0.5605305,2.9087062,0.28886318,3.2911742,-0.56784225,0.19150983,0.96384394,-0.8166342,-2.6006477,-1.0320402,-0.1274866,-0.8953408,0.08913274,1,CT-102_slide_11,CQ500-CT-102,0,0.421083966
-2.594504,0.020549975,-1.5033247,1.1567802,-1.2920276,1.7683694,-4.3274345,0.48198733,-0.016718915,0.9809503,1.3585088,2.9122598,4.0525475,-1.6708363,1.3746206,2.4287584,2.998447,0.6925888,-0.8776409,0.5238396,3.4983764,0.6557835,4.06338,-1.1946986,0.4914774,1.6754512,-1.371558,-3.3617516,-1.6955235,-0.212641,-1.4770757,-0.29576433,1,CT-102_slide_12,CQ500-CT-102,0,0.421083966
-1.4235431,0.22550678,-0.78853166,0.40991184,-0.16682649,0.46877843,-2.5428479,0.06825674,0.018441329,0.11735218,0.41709745,1.5076603,2.2215707,-0.41818085,0.2824774,1.3697389,1.5212097,0.40459308,-0.018147727,0.35799387,1.9811703,0.11987324,2.2999828,-0.23442261,0.023749901,0.51608384,-0.45767844,-1.6816165,-0.5534158,0.03446966,-0.5150575,0.10681979,1,CT-102_slide_13,CQ500-CT-102,0,0.421083966
-5.386626,0.72428423,-3.1347098,1.6151526,-1.3227031,2.1497397,-8.680932,0.9923378,0.46764928,1.4975141,1.8615537,6.0504746,7.9791827,-2.0064883,1.6626863,5.161215,6.2890983,1.7679179,-1.0451165,1.2165822,7.42328,0.7047243,8.133936,-1.4824883,0.82978153,2.1714559,-1.7663933,-6.505729,-2.358278,-0.7225296,-2.0590374,0.26977098,1,CT-102_slide_14,CQ500-CT-102,0,0.421083966
-0.9854906,0.1613119,-0.58720666,0.4340748,-0.37968475,0.53043616,-1.6325341,0.27105546,0.12874648,0.36304197,0.31802922,1.1086774,1.5177794,-0.45221102,0.42523515,0.92405516,1.1528547,0.4174483,-0.45178196,0.2696289,1.2882577,0.13010672,1.4529296,-0.33457488,0.22331704,0.47810322,-0.33270055,-1.2735534,-0.4760059,-0.31271467,-0.35230482,0.06802407,1,CT-102_slide_15,CQ500-CT-102,0,0.421083966
-2.062602,-0.01576129,-1.1781467,0.9234788,-1.0840945,1.4706175,-3.5446718,0.3486094,-0.104171254,0.76965314,1.1351423,2.3243487,3.2868993,-1.3950598,1.146685,1.8636655,2.356975,0.4596168,-0.64440924,0.44613788,2.804367,0.5595123,3.288368,-1.0072131,0.39102358,1.4201747,-1.1248438,-2.702019,-1.4111837,-0.05845164,-1.2688549,-0.2901173,1,CT-102_slide_16,CQ500-CT-102,0,0.421083966
-2.4167883,0.10416703,-1.4320722,1.0639925,-1.1475303,1.5476981,-3.9690354,0.4909689,0.001525151,0.8940945,1.1614923,2.7383618,3.736822,-1.4694288,1.2199587,2.2301216,2.7726393,0.70006955,-0.83043224,0.54301834,3.2289734,0.55420077,3.698202,-1.0524635,0.48237857,1.4893938,-1.1575382,-3.1330051,-1.4670625,-0.26015443,-1.2714255,-0.18817015,1,CT-102_slide_17,CQ500-CT-102,0,0.421083966
-1.8960205,0.36885315,-1.1618274,0.5818654,-0.43553358,0.7390649,-3.0187666,0.45788184,0.27958792,0.5108691,0.6420067,2.1239533,2.8014436,-0.6407244,0.54987335,1.8160733,2.1894746,0.73202693,-0.5589533,0.48640662,2.4791198,0.21730502,2.738986,-0.47128743,0.28795254,0.7305458,-0.6317356,-2.361759,-0.83616126,-0.4210318,-0.5989075,0.1864782,1,CT-102_slide_18,CQ500-CT-102,0,0.421083966
-1.9679513,-0.01800824,-1.145892,0.9617882,-1.1021872,1.4434106,-3.3227613,0.36453235,-0.106315516,0.78848153,1.0394268,2.228916,3.1129258,-1.3546711,1.1400398,1.7905515,2.2498002,0.48134282,-0.71996164,0.4269096,2.6480076,0.5238054,3.0939677,-0.97969925,0.40605646,1.3621503,-1.0405538,-2.5892754,-1.3133391,-0.1266689,-1.1849217,-0.26766333,1,CT-102_slide_19,CQ500-CT-102,0,0.421083966
-0.14313295,0.001123814,-0.053936522,0.1078331,-0.08805483,0.18305564,-0.33586958,-0.123661265,-0.09276513,-0.03895317,0.07530089,0.07425547,0.24434426,-0.10281519,0.1356332,0.057019122,0.1217911,-0.09569747,-0.000959018,0.06835869,0.109483086,0.092669755,0.20698728,-0.071355544,-0.07587947,0.1252831,-0.11132184,-0.1563942,-0.18318568,0.07200539,-0.12762316,-0.047004376,1,CT-102_slide_20,CQ500-CT-102,0,0.421083966
-0.41768584,0.090575166,-0.31592682,0.15417768,-0.05647362,0.1519059,-0.8396506,-0.13635781,-0.053474,0.015252167,0.1712374,0.5326082,0.7352973,-0.18360579,0.057496212,0.39171016,0.53385955,0.083275005,0.09598073,0.18779202,0.62908316,0.09870505,0.73381996,-0.13901831,-0.11247669,0.24304377,-0.17323859,-0.5825576,-0.20467333,0.047716893,-0.19073074,0.009180967,1,CT-102_slide_21,CQ500-CT-102,0,0.421083966
-7.0751667,0.33554915,-4.008592,2.4499257,-2.4556546,3.5870528,-11.303812,1.5542691,0.37200457,2.3659081,2.7942092,7.7604117,10.418821,-3.3344197,2.8240438,6.821514,8.104858,2.2174714,-2.077528,1.0797044,9.643849,1.2396353,10.819784,-2.3774328,1.4020808,3.3261015,-2.8245265,-8.595973,-3.5385966,-0.9928065,-3.0129447,-0.21128802,1,CT-102_slide_22,CQ500-CT-102,0,0.421083966
-2.3855278,0.30286783,-1.4945555,0.7693328,-0.7728453,1.1099441,-3.875544,0.86026156,0.40641823,0.9459382,0.96133465,2.776572,3.6553118,-1.0454001,0.84136385,2.3109992,2.8153214,1.0800006,-0.97491616,0.47457978,3.2260647,0.2891698,3.6138253,-0.74175936,0.58328736,1.0986233,-0.8874339,-3.0761883,-1.1228309,-0.6571254,-0.84198314,0.10313085,1,CT-102_slide_23,CQ500-CT-102,0,0.421083966
-5.774351,0.53301144,-3.3484316,1.9049363,-1.7225004,2.5877001,-9.17949,1.1331825,0.3584954,1.7752112,2.054443,6.413057,8.469286,-2.3554802,2.0041742,5.598768,6.6749,1.8851879,-1.4386197,1.0729204,7.914183,0.8873896,8.74257,-1.7054389,1.0276526,2.4686327,-2.0422275,-7.000589,-2.643414,-0.91510755,-2.209857,0.10782662,1,CT-102_slide_24,CQ500-CT-102,0,0.421083966
-1.8856028,0.2183475,-1.1497335,0.66282177,-0.6413225,0.9529012,-3.2889163,0.37412634,0.13614346,0.6173224,0.8596869,2.2244945,3.0168884,-0.9549239,0.678849,1.8307401,2.2507443,0.6759808,-0.42250597,0.49321255,2.6739032,0.35456917,3.0343497,-0.704572,0.2985854,1.0129592,-0.8313898,-2.500627,-1.0014751,-0.29719797,-0.80562615,0.015892811,1,CT-102_slide_25,CQ500-CT-102,0,0.421083966
-1.808942,0.18165977,-1.1338997,0.6730004,-0.67984545,0.8746962,-2.7941222,0.53497124,0.26652244,0.81174845,0.7331543,2.070303,2.6589847,-0.8786278,0.6930008,1.6973469,2.1105592,0.74156034,-0.75083226,0.40458784,2.3771048,0.29879868,2.5799253,-0.6546441,0.4786136,0.8796246,-0.6675566,-2.2678342,-0.85531723,-0.48899457,-0.67079526,0.049424667,1,CT-102_slide_26,CQ500-CT-102,0,0.421083966
-0.4951696,0.01918916,-0.34010288,0.2287237,-0.26740414,0.2937227,-0.8003136,0.42639676,0.20007037,0.40546957,0.18615778,0.5534099,0.7859705,-0.32248044,0.25440785,0.4927371,0.56168044,0.39786056,-0.55417556,-0.014594479,0.62902504,0.021755207,0.7741127,-0.1830693,0.28977558,0.28570902,-0.16045593,-0.63641715,-0.21503817,-0.33097166,-0.15695591,-0.013167113,1,CT-102_slide_27,CQ500-CT-102,0,0.421083966
-4.921429,0.47302312,-2.8189106,1.5869383,-1.4217936,2.216188,-8.227824,1.2506738,0.52975595,1.508206,1.8848231,5.523396,7.5070806,-2.0813694,1.6272883,4.9259443,5.773045,1.9007121,-1.3387672,0.8186318,6.9734845,0.680818,7.862374,-1.4819014,0.95425,2.1617548,-1.9040414,-6.185429,-2.306095,-0.9799435,-1.794506,0.11460224,1,CT-102_slide_28,CQ500-CT-102,0,0.421083966
-6.039548,0.36506456,-3.4981477,2.042568,-1.8737681,2.753717,-9.354862,1.2391907,0.28433785,1.9488084,1.9855849,6.5811615,8.685491,-2.5528154,2.1657493,5.884506,6.852138,2.0160463,-1.7259079,0.8962408,8.164819,0.86361593,9.02953,-1.7391973,1.1609792,2.5280857,-2.0447266,-7.1587644,-2.5759306,-0.992062,-2.265601,-0.003553879,1,CT-102_slide_29,CQ500-CT-102,0,0.421083966
-2.9491022,0.2758008,-1.7406583,1.0734228,-1.1072937,1.6568513,-4.919931,0.5206348,0.10189604,0.9557032,1.4373575,3.3406246,4.5561466,-1.5753582,1.283363,2.7606218,3.435572,0.8630703,-0.7251521,0.72843415,4.02998,0.6115004,4.563973,-1.1279852,0.44055125,1.652563,-1.3532851,-3.7647433,-1.7782806,-0.2770211,-1.5163648,-0.08088784,0,CT-103_slide_0,CQ500-CT-103,1,0.82690074
